gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,ggroup
166555,20211231,2021,INDL,C,D,STD,ATEC,ALPHATEC HOLDINGS INC,USD,A,3510
166562,20211231,2021,INDL,C,D,STD,VG,VONAGE HOLDINGS CORP,USD,A,4510
166563,20211231,2021,INDL,C,D,STD,DK,DELEK US HOLDINGS INC,USD,A,1010
166583,20211231,2021,INDL,C,D,STD,LUNA,LUNA INNOVATIONS INC,USD,A,4520
170384,20211231,2021,INDL,C,D,STD,GOGO,GOGO INC,USD,A,5010
170396,20211231,2021,INDL,C,D,STD,CUBI,CUSTOMERS BANCORP INC,USD,A,4010
170419,20210630,2021,INDL,C,D,STD,HTBI,HOMETRUST BANCSHARES INC,USD,A,4010
170450,20210831,2021,INDL,C,D,STD,ORMP,ORAMED PHARMACEUTICALS INC,USD,A,3520
170520,20211231,2021,INDL,C,D,STD,RDUS,RADIUS HEALTH INC,USD,A,3520
170527,20210930,2021,INDL,C,D,STD,POST,POST HOLDINGS INC,USD,A,3020
170616,20220131,2021,INDL,C,D,STD,SPLK,SPLUNK INC,USD,A,4510
170617,20211231,2021,INDL,C,D,STD,FB,META PLATFORMS INC,USD,A,5020
170714,20211231,2021,INDL,C,D,STD,ESRT,EMPIRE STATE REALTY TR INC,USD,A,6010
170750,20211231,2021,INDL,C,D,STD,FANG,DIAMONDBACK ENERGY INC,USD,A,1010
170841,20211231,2021,INDL,C,D,STD,PSX,PHILLIPS 66,USD,A,1010
171002,20211231,2021,INDL,C,D,STD,GMED,GLOBUS MEDICAL INC,USD,A,3510
171007,20211231,2021,INDL,C,D,STD,NOW,SERVICENOW INC,USD,A,4510
171049,20211231,2021,INDL,C,D,STD,BLMN,BLOOMIN' BRANDS INC,USD,A,2530
171067,20210731,2021,INDL,C,D,STD,PANW,PALO ALTO NETWORKS INC,USD,A,4510
171141,20220131,2021,INDL,C,D,STD,FIVE,FIVE BELOW INC,USD,A,2550
174022,20211231,2021,INDL,C,D,STD,RLGY,REALOGY HOLDINGS CORP,USD,A,6010
174049,20211231,2021,INDL,C,D,STD,PGTI,PGT INNOVATIONS INC,USD,A,2010
174134,20211231,2021,INDL,C,D,STD,PTCT,PTC THERAPEUTICS INC,USD,A,3520
174236,20211231,2021,INDL,C,D,STD,SEM,SELECT MEDICAL HOLDINGS CORP,USD,A,3510
174310,20211231,2021,INDL,C,D,STD,KBR,KBR INC,USD,A,2020
174389,20211231,2021,INDL,C,D,STD,EHTH,EHEALTH INC,USD,A,4030
174390,20211231,2021,INDL,C,D,STD,LMAT,LEMAITRE VASCULAR INC,USD,A,3510
174428,20211231,2021,INDL,C,D,STD,INFU,INFUSYSTEM HOLDINGS INC,USD,A,3510
174637,20211231,2021,INDL,C,D,STD,ICFI,ICF INTERNATIONAL INC,USD,A,2020
174744,20211231,2021,INDL,C,D,STD,EVR,EVERCORE INC,USD,A,4020
175007,20211231,2021,INDL,C,D,STD,ALGT,ALLEGIANT TRAVEL CO,USD,A,2030
175008,20211231,2021,INDL,C,D,STD,FOLD,AMICUS THERAPEUTICS INC,USD,A,3520
175263,20211231,2021,INDL,C,D,STD,WU,WESTERN UNION CO,USD,A,4510
175307,20211231,2021,INDL,C,D,STD,DEI,DOUGLAS EMMETT INC,USD,A,6010
175319,20211231,2021,INDL,C,D,STD,HBI,HANESBRANDS INC,USD,A,2520
175404,20211231,2021,INDL,C,D,STD,FSLR,FIRST SOLAR INC,USD,A,4530
175523,20211231,2021,INDL,C,D,STD,GSAT,GLOBALSTAR INC,USD,A,5010
175654,20211231,2021,INDL,C,D,STD,WLDN,WILLDAN GROUP INC,USD,A,2020
175686,20211231,2021,INDL,C,D,STD,PRIM,PRIMORIS SERVICES CORP,USD,A,2010
175689,20211231,2021,INDL,C,D,STD,AWI,ARMSTRONG WORLD INDUSTRIES,USD,A,2010
175900,20210930,2021,INDL,C,D,STD,SBH,SALLY BEAUTY HOLDINGS INC,USD,A,2550
175955,20211231,2021,INDL,C,D,STD,IPGP,IPG PHOTONICS CORP,USD,A,4520
175966,20211231,2021,INDL,C,D,STD,CPRX,CATALYST PHARMACEUTICALS INC,USD,A,3520
176017,20211231,2021,INDL,C,D,STD,ATHX,ATHERSYS INC,USD,A,3520
176022,20211231,2021,INDL,C,D,STD,EBS,EMERGENT BIOSOLUTIONS INC,USD,A,3520
176234,20211231,2021,INDL,C,D,STD,CTT,CATCHMARK TIMBER TRUST,USD,A,6010
176247,20211231,2021,INDL,C,D,STD,AIMC,ALTRA INDUSTRIAL MOTION CORP,USD,A,2010
176343,20211231,2021,INDL,C,D,STD,CLNE,CLEAN ENERGY FUELS CORP,USD,A,1010
176572,20210630,2021,INDL,C,D,STD,AVNW,AVIAT NETWORKS INC,USD,A,4520
176591,20211231,2021,INDL,C,D,STD,EIG,EMPLOYERS HOLDINGS INC,USD,A,4030
176593,20211231,2021,INDL,C,D,STD,PRTS,CARPARTS COM INC,USD,A,2550
176602,20211231,2021,INDL,C,D,STD,ESGR,ENSTAR GROUP LTD,USD,A,4030
176670,20210630,2021,INDL,C,D,STD,ARAY,ACCURAY INC,USD,A,3510
176701,20211231,2021,INDL,C,D,STD,IBKR,INTERACTIVE BROKERS GROUP,USD,A,4020
176766,20210930,2021,INDL,C,D,STD,TFSL,TFS FINANCIAL CORP,USD,A,4010
176928,20210630,2021,INDL,C,D,STD,BR,BROADRIDGE FINANCIAL SOLUTNS,USD,A,4510
177088,20211231,2021,INDL,C,D,STD,BX,BLACKSTONE GROUP INC,USD,A,4020
177108,20211231,2021,INDL,C,D,STD,CNK,CINEMARK HOLDINGS INC,USD,A,5020
177111,20211231,2021,INDL,C,D,STD,TTGT,TECHTARGET INC,USD,A,5020
177227,20211231,2021,INDL,C,D,STD,PODD,INSULET CORP,USD,A,3510
177257,20211231,2021,INDL,C,D,STD,INFN,INFINERA CORP,USD,A,4520
177287,20211231,2021,INDL,C,D,STD,JAZZ,JAZZ PHARMACEUTICALS PLC,USD,A,3520
177315,20211231,2021,INDL,C,D,STD,LLNW,LIMELIGHT NETWORKS INC,USD,A,4510
177367,20211231,2021,INDL,C,D,STD,CDXC,CHROMADEX CORP,USD,A,3520
177376,20211231,2021,INDL,C,D,STD,DFS,DISCOVER FINANCIAL SVCS,USD,A,4020
177637,20211231,2021,INDL,C,D,STD,AMC,AMC ENTERTAINMENT HOLDINGS,USD,A,5020
177640,20211231,2021,INDL,C,D,STD,TIPT,TIPTREE INC,USD,A,4030
177744,20211231,2021,INDL,C,D,STD,PRO,PROS HOLDINGS INC,USD,A,4510
177881,20211231,2021,INDL,C,D,STD,MASI,MASIMO CORP,USD,A,3510
177966,20211231,2021,INDL,C,D,STD,ALSN,ALLISON TRANSMISSION HLDGS,USD,A,2010
177983,20211231,2021,INDL,C,D,STD,G,GENPACT LTD,USD,A,4510
178015,20220131,2021,INDL,C,D,STD,LULU,LULULEMON ATHLETICA INC,USD,A,2520
178073,20211231,2021,INDL,C,D,STD,RILY,B. RILEY FINANCIAL INC,USD,A,4020
178083,20220131,2021,INDL,C,D,STD,VMW,VMWARE INC -CL A,USD,A,4510
178310,20211231,2021,INDL,C,D,STD,TDC,TERADATA CORP,USD,A,4510
178507,20211231,2021,INDL,C,D,STD,MSCI,MSCI INC,USD,A,4020
178519,20211231,2021,INDL,C,D,STD,LPLA,LPL FINANCIAL HOLDINGS INC,USD,A,4020
178539,20211231,2021,INDL,C,D,STD,ROIC,RETAIL OPPORTUNITY INVTS CP,USD,A,6010
178552,20211231,2021,INDL,C,D,STD,TGH,TEXTAINER GROUP HOLDINGS LTD,USD,A,2010
178672,20211231,2021,INDL,C,D,STD,CVI,CVR ENERGY INC,USD,A,1010
178704,20220131,2021,INDL,C,D,STD,ULTA,ULTA BEAUTY INC,USD,A,2550
178797,20211231,2021,INDL,C,D,STD,APEI,AMERICAN PUBLIC EDUCATION,USD,A,2530
178803,20211231,2021,INDL,C,D,STD,ENSG,ENSIGN GROUP INC,USD,A,3510
178806,20211231,2021,INDL,C,D,STD,LL,LL FLOORING HOLDINGS INC,USD,A,2550
178834,20211231,2021,INDL,C,D,STD,NFBK,NORTHFIELD BANCORP INC,USD,A,4010
178862,20211231,2021,INDL,C,D,STD,CIM,CHIMERA INVESTMENT CORP,USD,A,4020
178973,20220131,2021,INDL,C,D,STD,TITN,TITAN MACHINERY INC,USD,A,2010
178976,20210630,2021,INDL,C,D,STD,LRN,STRIDE INC,USD,A,2530
179413,20210630,2021,INDL,C,D,STD,CSII,CARDIOVASCULAR SYSTEMS INC,USD,A,3510
179437,20211231,2021,INDL,C,D,STD,AWK,AMERICAN WATER WORKS CO INC,USD,A,5510
179534,20210930,2021,INDL,C,D,STD,V,VISA INC,USD,A,4510
179583,20210630,2021,INDL,C,D,STD,FN,FABRINET,USD,A,4520
179597,20211231,2021,INDL,C,D,STD,HCCI,HERITAGE-CRYSTAL CLEAN INC,USD,A,2020
179598,20211231,2021,INDL,C,D,STD,CLDX,CELLDEX THERAPEUTICS INC,USD,A,3520
179621,20211231,2021,INDL,C,D,STD,PM,PHILIP MORRIS INTERNATIONAL,USD,A,3020
179657,20210930,2021,INDL,C,D,STD,HI,HILLENBRAND INC,USD,A,2010
179671,20211231,2021,INDL,C,D,STD,CCXI,CHEMOCENTRYX INC,USD,A,3520
179738,20211231,2021,INDL,C,D,STD,ERII,ENERGY RECOVERY INC,USD,A,2010
179741,20211231,2021,INDL,C,D,STD,KKR,KKR & CO INC,USD,A,4020
179819,20211031,2021,INDL,C,D,STD,NX,QUANEX BUILDING PRODUCTS,USD,A,2010
179834,20211231,2021,INDL,C,D,STD,CDNA,CAREDX INC,USD,A,3520
179841,20211231,2021,INDL,C,D,STD,CDXS,CODEXIS INC,USD,A,3520
179843,20211231,2021,INDL,C,D,STD,IPI,INTREPID POTASH INC,USD,A,1510
179889,20211231,2021,INDL,C,D,STD,AGNC,AGNC INVESTMENT CORP,USD,A,4020
179974,20211231,2021,INDL,C,D,STD,HCI,HCI GROUP INC,USD,A,4030
180016,20211231,2021,INDL,C,D,STD,MRC,MRC GLOBAL INC,USD,A,2010
180083,20211231,2021,INDL,C,D,STD,LOPE,GRAND CANYON EDUCATION INC,USD,A,2530
180183,20211231,2021,INDL,C,D,STD,HBCP,HOME BANCORP INC,USD,A,4010
180228,20211231,2021,INDL,C,D,STD,IVR,INVESCO MORTGAGE CAPITAL INC,USD,A,4020
180405,20211231,2021,INDL,C,D,STD,ATVI,ACTIVISION BLIZZARD INC,USD,A,5020
180466,20211231,2021,INDL,C,D,STD,JBT,JOHN BEAN TECHNOLOGIES,USD,A,2010
180483,20210930,2021,INDL,C,D,STD,BERY,BERRY GLOBAL GROUP INC,USD,A,1510
180646,20211231,2021,INDL,C,D,STD,MYRG,MYR GROUP INC,USD,A,2010
180652,20211231,2021,INDL,C,D,STD,VRSK,VERISK ANALYTICS INC,USD,A,2020
180683,20210630,2021,INDL,C,D,STD,IBIO,IBIO INC,USD,A,3520
180711,20211031,2021,INDL,C,D,STD,AVGO,BROADCOM INC,USD,A,4530
181104,20211231,2021,INDL,C,D,STD,MDRX,ALLSCRIPTS HEALTHCARE SOLTNS,USD,A,3510
181269,20211231,2021,INDL,C,D,STD,GPRE,GREEN PLAINS INC,USD,A,1010
181290,20211231,2021,INDL,C,D,STD,DMRC,DIGIMARC CORP,USD,A,4510
181931,20211231,2021,INDL,C,D,STD,CLW,CLEARWATER PAPER CORP,USD,A,1510
181989,20211231,2021,INDL,C,D,STD,SLCA,U S SILICA HOLDINGS INC,USD,A,1010
183283,20211231,2021,INDL,C,D,STD,ADUS,ADDUS HOMECARE CORP,USD,A,3510
183322,20211231,2021,INDL,C,D,STD,TXMD,THERAPEUTICSMD INC,USD,A,3520
183324,20211231,2021,INDL,C,D,STD,PMT,PENNYMAC MORTGAGE INVEST TR,USD,A,4020
183366,20211231,2021,INDL,C,D,STD,H,HYATT HOTELS CORP,USD,A,2530
183377,20211231,2021,INDL,C,D,STD,FTNT,FORTINET INC,USD,A,4510
183388,20211231,2021,INDL,C,D,STD,STWD,STARWOOD PROPERTY TRUST INC,USD,A,4020
183581,20211231,2021,INDL,C,D,STD,KAR,KAR AUCTION SERVICES INC,USD,A,2020
183593,20211231,2021,INDL,C,D,STD,OMER,OMEROS CORP,USD,A,3520
183602,20211231,2021,INDL,C,D,STD,SRNE,SORRENTO THERAPEUTICS INC,USD,A,3520
183606,20211231,2021,INDL,C,D,STD,ARI,APOLLO COMMERCIAL RE FIN INC,USD,A,4020
183640,20211231,2021,INDL,C,D,STD,IRDM,IRIDIUM COMMUNICATIONS INC,USD,A,5010
183736,20211231,2021,INDL,C,D,STD,GNRC,GENERAC HOLDINGS INC,USD,A,2010
183780,20211231,2021,INDL,C,D,STD,TWO,TWO HARBORS INVESTMENT CORP,USD,A,4020
183797,20211231,2021,INDL,C,D,STD,COWN,COWEN INC,USD,A,4020
183822,20211231,2021,INDL,C,D,STD,ARR,ARMOUR RESIDENTIAL REIT INC,USD,A,4020
183830,20211231,2021,INDL,C,D,STD,PEB,PEBBLEBROOK HOTEL TRUST,USD,A,6010
183833,20211231,2021,INDL,C,D,STD,TRNO,TERRENO REALTY CORP,USD,A,6010
183902,20211231,2021,INDL,C,D,STD,EFC,ELLINGTON FINANCIAL INC,USD,A,4020
183903,20211231,2021,INDL,C,D,STD,CALX,CALIX INC,USD,A,4520
183942,20211231,2021,INDL,C,D,STD,ST,SENSATA TECHNOLOGES HLDG PLC,USD,A,2010
183974,20211231,2021,INDL,C,D,STD,SPSC,SPS COMMERCE INC,USD,A,4510
184113,20211231,2021,INDL,C,D,STD,VUZI,VUZIX CORP,USD,A,2520
184167,20211231,2021,INDL,C,D,STD,FIBK,FIRST INTERSTATE BANCSYSTEM,USD,A,4010
184254,20211231,2021,INDL,C,D,STD,APO,APOLLO GLOBAL MGMT INC,USD,A,4020
184256,20211231,2021,INDL,C,D,STD,IRWD,IRONWOOD PHARMACEUTICALS INC,USD,A,3520
184258,20211231,2021,INDL,C,D,STD,PLOW,DOUGLAS DYNAMICS INC,USD,A,2010
184263,20210630,2021,INDL,C,D,STD,QNST,QUINSTREET INC,USD,A,5020
184352,20211231,2021,INDL,C,D,STD,STNG,SCORPIO TANKERS INC,USD,A,1010
184392,20211231,2021,INDL,C,D,STD,GDOT,GREEN DOT CORP,USD,A,4020
184465,20211231,2021,INDL,C,D,STD,AMPE,AMPIO PHARMACEUTICALS INC,USD,A,3520
184500,20211231,2021,INDL,C,D,STD,CBOE,CBOE GLOBAL MARKETS INC,USD,A,4020
184551,20211231,2021,INDL,C,D,STD,MXL,MAXLINEAR INC,USD,A,4530
184576,20211231,2021,INDL,C,D,STD,ENV,ENVESTNET INC,USD,A,4510
184604,20210630,2021,INDL,C,D,STD,AOSL,ALPHA AND OMEGA SEMICONDUCTO,USD,A,4530
184688,20211231,2021,INDL,C,D,STD,CLDT,CHATHAM LODGING TRUST,USD,A,6010
184700,20211231,2021,INDL,C,D,STD,FLT,FLEETCOR TECHNOLOGIES INC,USD,A,4510
184702,20211231,2021,INDL,C,D,STD,NPTN,NEOPHOTONICS CORP,USD,A,4530
184717,20211231,2021,INDL,C,D,STD,AMRS,AMYRIS INC,USD,A,1510
184725,20211231,2021,INDL,C,D,STD,NXPI,NXP SEMICONDUCTORS NV,USD,A,4530
184899,20211231,2021,INDL,C,D,STD,FAF,FIRST AMERICAN FINANCIAL CP,USD,A,4030
184957,20211231,2021,INDL,C,D,STD,WKHS,WORKHORSE GROUP INC,USD,A,2510
184996,20211231,2021,INDL,C,D,STD,TSLA,TESLA INC,USD,A,2510
185018,20211231,2021,INDL,C,D,STD,HPP,HUDSON PACIFIC PPTYS INC,USD,A,6010
185128,20211231,2021,INDL,C,D,STD,AMRC,AMERESCO INC,USD,A,2010
185138,20211231,2021,INDL,C,D,STD,VPG,VISHAY PRECISION GROUP INC,USD,A,4520
185229,20211231,2021,INDL,C,D,STD,BWXT,BWX TECHNOLOGIES INC,USD,A,2010
185339,20211231,2021,INDL,C,D,STD,STAG,STAG INDUSTRIAL INC,USD,A,6010
185345,20211231,2021,INDL,C,D,STD,APTS,PREFERRED APARTMENT CMNTYS,USD,A,6010
185355,20211231,2021,INDL,C,D,STD,HZNP,HORIZON THERAPEUTICS PUB LTD,USD,A,3520
185370,20211231,2021,INDL,C,D,STD,WD,WALKER & DUNLOP INC,USD,A,4010
185375,20211231,2021,INDL,C,D,STD,EVTC,EVERTEC INC,USD,A,4510
185396,20211231,2021,INDL,C,D,STD,INN,SUMMIT HOTEL PROPERTIES INC,USD,A,6010
185419,20211231,2021,INDL,C,D,STD,PACB,PACIFIC BIOSCIENCES OF CALIF,USD,A,3520
185453,20211231,2021,INDL,C,D,STD,WSR,WHITESTONE REIT,USD,A,6010
185532,20211231,2021,INDL,C,D,STD,TRGP,TARGA RESOURCES CORP,USD,A,1010
185549,20211231,2021,INDL,C,D,STD,AAT,AMERICAN ASSETS TRUST INC,USD,A,6010
185618,20211231,2021,INDL,C,D,STD,SBRA,SABRA HEALTH CARE REIT INC,USD,A,6010
185624,20211231,2021,INDL,C,D,STD,SAVE,SPIRIT AIRLINES INC,USD,A,2030
185659,20211231,2021,INDL,C,D,STD,ATOS,ATOSSA THERAPEUTICS INC,USD,A,3520
185770,20211231,2021,INDL,C,D,STD,CMRE,COSTAMARE INC,USD,A,2030
185797,20211231,2021,INDL,C,D,STD,HHC,HOWARD HUGHES CORP,USD,A,6010
185824,20211231,2021,INDL,C,D,STD,BKU,BANKUNITED INC,USD,A,4010
185836,20211231,2021,INDL,C,D,STD,PCRX,PACIRA BIOSCIENCES INC,USD,A,3520
185952,20211031,2021,INDL,C,D,STD,REVG,REV GROUP INC,USD,A,2010
186276,20211231,2021,INDL,C,D,STD,KOS,KOSMOS ENERGY LTD,USD,A,1010
186278,20211231,2021,INDL,C,D,STD,AL,AIR LEASE CORP,USD,A,2010
186310,20211231,2021,INDL,C,D,STD,HII,HUNTINGTON INGALLS IND INC,USD,A,2010
186363,20211231,2021,INDL,C,D,STD,RLJ,RLJ LODGING TRUST,USD,A,6010
186392,20211231,2021,INDL,C,D,STD,SEAS,SEAWORLD ENTERTAINMENT INC,USD,A,2530
186437,20211231,2021,INDL,C,D,STD,GEVO,GEVO INC,USD,A,1010
186773,20211231,2021,INDL,C,D,STD,SXC,SUNCOKE ENERGY INC,USD,A,1510
186858,20210930,2021,INDL,C,D,STD,ARMK,ARAMARK,USD,A,2530
186960,20211231,2021,INDL,C,D,STD,CHEF,CHEFS' WAREHOUSE INC,USD,A,3010
186989,20211231,2021,INDL,C,D,STD,MPC,MARATHON PETROLEUM CORP,USD,A,1010
187039,20211231,2021,INDL,C,D,STD,Z,ZILLOW GROUP INC,USD,A,6010
187084,20211231,2021,INDL,C,D,STD,PRTY,PARTY CITY HOLDCO INC,USD,A,2550
187148,20211231,2021,INDL,C,D,STD,ORC,ORCHID ISLAND CAPITAL INC,USD,A,4020
187164,20211231,2021,INDL,C,D,STD,HMST,HOMESTREET INC,USD,A,4010
187236,20211231,2021,INDL,C,D,STD,MSBI,MIDLAND STATES BANCORP,USD,A,4010
187253,20211231,2021,INDL,C,D,STD,RM,REGIONAL MANAGEMENT CORP,USD,A,4020
187363,20211231,2021,INDL,C,D,STD,GRPN,GROUPON INC,USD,A,2550
187406,20211231,2021,INDL,C,D,STD,AMCX,AMC NETWORKS INC,USD,A,5020
187450,20211231,2021,INDL,C,D,STD,ENPH,ENPHASE ENERGY INC,USD,A,4530
187550,20211231,2021,INDL,C,D,STD,ASPN,ASPEN AEROGELS INC,USD,A,1510
187575,20220131,2021,INDL,C,D,STD,TLYS,TILLY'S INC,USD,A,2550
187576,20211231,2021,INDL,C,D,STD,ZNGA,ZYNGA INC,USD,A,5020
187690,20211231,2021,INDL,C,D,STD,HTA,HEALTHCARE TR OF AMERICA INC,USD,A,6010
187692,20211231,2021,INDL,C,D,STD,REGI,RENEWABLE ENERGY GROUP INC,USD,A,1010
187696,20211231,2021,INDL,C,D,STD,PRLB,PROTO LABS INC,USD,A,2010
187697,20211231,2021,INDL,C,D,STD,EPAM,EPAM SYSTEMS INC,USD,A,4510
187740,20210930,2021,INDL,C,D,STD,MTSI,M/ACOM TECHNOLOGY SOLUTIONS,USD,A,4530
187775,20211231,2021,INDL,C,D,STD,CHUY,CHUY'S HOLDINGS INC,USD,A,2530
187812,20211231,2021,INDL,C,D,STD,MTDR,MATADOR RESOURCES CO,USD,A,1010
187959,20211231,2021,INDL,C,D,STD,BCOV,BRIGHTCOVE INC,USD,A,4510
187961,20211231,2021,INDL,C,D,STD,LPI,LAREDO PETROLEUM INC,USD,A,1010
188255,20211231,2021,INDL,C,D,STD,FBHS,FORTUNE BRANDS HOME & SECUR,USD,A,2010
189459,20211231,2021,INDL,C,D,STD,CG,CARLYLE GROUP INC,USD,A,4020
189491,20211231,2021,INDL,C,D,STD,XYL,XYLEM INC,USD,A,2010
189516,20211231,2021,INDL,C,D,STD,ACRE,ARES COMMERCIAL REAL ESTATE,USD,A,4020
189517,20211231,2021,INDL,C,D,STD,ENVA,ENOVA INTERNATIONAL INC,USD,A,4020
190355,20211231,2021,INDL,C,D,STD,AXGN,AXOGEN INC,USD,A,3510
190455,20210731,2021,INDL,C,D,STD,GWRE,GUIDEWIRE SOFTWARE INC,USD,A,4510
190856,20211231,2021,INDL,C,D,STD,TNXP,TONIX PHARMACEUTICALS HLDG,USD,A,3520
190963,20211231,2021,INDL,C,D,STD,NBHC,NATIONAL BANK HLDGS CORP,USD,A,4010
192255,20211231,2021,INDL,C,D,STD,ACHC,ACADIA HEALTHCARE CO INC,USD,A,3510
196055,20211231,2021,INDL,C,D,STD,CLVS,CLOVIS ONCOLOGY INC,USD,A,3520
196159,20211231,2021,INDL,C,D,STD,PBF,PBF ENERGY INC,USD,A,1010
196268,20211231,2021,INDL,C,D,STD,YELP,YELP INC,USD,A,5020
199356,20211231,2021,INDL,C,D,STD,TRIP,TRIPADVISOR INC,USD,A,5020
245918,20211231,2021,INDL,C,D,STD,IGT,INTL GAME TECHNOLOGY PLC,USD,A,2530
258869,20211231,2021,INDL,C,D,STD,TPH,TRI POINTE HOMES INC,USD,A,2520
260751,20211231,2021,INDL,C,D,STD,NTB,BANK OF NT BUTTERFIELD & SON,USD,A,4010
260893,20211231,2021,INDL,C,D,STD,BLKB,BLACKBAUD INC,USD,A,4510
263277,20211231,2021,INDL,C,D,STD,TRTN,TRITON INTERNATIONAL LTD,USD,A,2010
264265,20211231,2021,INDL,C,D,STD,ALNY,ALNYLAM PHARMACEUTICALS INC,USD,A,3520
264385,20211231,2021,INDL,C,D,STD,NUVA,NUVASIVE INC,USD,A,3510
264416,20211231,2021,INDL,C,D,STD,UCTT,ULTRA CLEAN HOLDINGS INC,USD,A,4530
266214,20211231,2021,INDL,C,D,STD,CNS,COHEN & STEERS INC,USD,A,4020
266315,20211231,2021,INDL,C,D,STD,KRG,KITE REALTY GROUP TRUST,USD,A,6010
294524,20211231,2021,INDL,C,D,STD,LYB,LYONDELLBASELL INDUSTRIES NV,USD,A,1510
312009,20211231,2021,INDL,C,D,STD,FRO,FRONTLINE LTD,USD,A,1010
316056,20211231,2021,INDL,C,D,STD,ALLE,ALLEGION PLC,USD,A,2010
